Date ,Time,ID,SITE,LAT,LONG,EC,pH,Turbidity,NH4,NO3,TN,PO4,TP,TSS,VSS,ChlorophyllA,PheophytinA
1/21/2016,0:00,Tri North,Triangle West,38.269857,-121.398339,118.4,7.17,49.0,0.03,0.64,1.56,0.133,0.275,23.5,11.1,2.3,3.8
1/21/2016,2:00,Tri North,Triangle West,38.269857,-121.398339,122.2,7.21,46.8,0.04,0.63,1.60,0.132,0.268,25.7,4.2,2.1,3.2
1/21/2016,4:00,Tri North,Triangle West,38.269857,-121.398339,121.4,7.20,44.4,0.02,0.63,1.39,0.133,0.254,20.6,2.0,2.0,3.1
1/21/2016,6:00,Tri North,Triangle West,38.269857,-121.398339,120.9,7.19,38.7,0.01,0.63,1.60,0.133,0.257,21.9,7.9,2.2,3.1
1/21/2016,8:00,Tri North,Triangle West,38.269857,-121.398339,118.0,7.18,40.5,0.04,0.61,1.60,0.144,0.275,27.5,5.1,2.4,3.4
1/21/2016,10:00,Tri North,Triangle West,38.269857,-121.398339,119.4,7.15,40.9,0.03,0.61,1.56,0.144,0.331,23.7,2.2,4.5,5.1
1/21/2016,12:00,Tri North,Triangle West,38.269857,-121.398339,120.5,7.13,28.7,0.02,0.61,1.30,0.143,0.229,19.2,2.1,3.0,2.9
1/21/2016,14:00,Tri North,Triangle West,38.269857,-121.398339,120.8,7.13,24.9,0.02,0.60,1.34,0.140,0.229,14.2,1.4,3.5,2.6
1/21/2016,18:00,Tri North,Triangle West,38.269857,-121.398339,120.6,7.15,25.3,0.05,0.59,1.42,0.143,0.229,18.3,11.8,3.8,2.8
1/21/2016,22:00,Tri North,Triangle West,38.269857,-121.398339,119.4,7.15,18.3,0.04,0.57,1.28,0.140,0.227,7.0,1.2,3.2,2.6
1/22/2016,2:00,Tri North,Triangle West,38.269857,-121.398339,117.0,7.15,12.8,0.06,0.55,1.29,0.143,0.217,8.0,1.5,2.6,2.4
1/22/2016,6:00,Tri Noth,Triangle West,38.269857,-121.398339,117.3,7.15,21.6,0.06,0.50,1.14,0.146,0.210,12.5,3.2,2.6,2.2
1/23/2016,18:00,Tri North,Triangle West,38.269857,-121.398339,109.8,7.04,12.7,0.05,0.39,1.24,0.040,0.132,19.4,4.6,1.8,2.5
1/24/2016,2:00,Tri North,Triangle West,38.269857,-121.398339,116.3,7.28,41.1,0.04,0.47,1.14,0.057,0.179,15.2,3.5,2.2,2.7
1/24/2016,6:00,Tri North,Triangle West,38.269857,-121.398339,125.5,7.25,46.1,0.03,0.53,1.22,0.066,0.207,81.5,16.4,2.5,2.6
1/24/2016,14:00,Tri North,Triangle West,38.269857,-121.398339,115.1,7.21,47.5,0.01,0.47,1.23,0.067,0.213,38.9,6.2,2.5,2.6
1/24/2016,20:00,Tri North,Triangle West,38.269857,-121.398339,115.0,7.19,40.0,0.03,0.48,1.15,0.073,0.204,19.1,5.7,1.9,2.0
1/25/2016,4:00,Tri North,Triangle West,38.269857,-121.398339,113.4,7.18,21.0,0.02,0.48,1.26,0.080,0.151,19.4,4.7,1.6,1.0
1/25/2016,6:00,Tri North,Triangle West,38.269857,-121.398339,120.0,7.00,16.6,0.02,0.31,0.96,0.105,0.167,4.7,3.7,1.1,0.9
1/25/2016,14:00,Tri North,Triangle West,38.269857,-121.398339,116.3,7.18,14.2,0.01,0.39,1.14,0.073,0.129,16.9,3.7,1.7,1.0
1/26/2016,2:00,Tri North,Triangle West,38.269857,-121.398339,113.5,7.19,23.6,0.01,0.41,1.11,0.081,0.173,29.8,5.3,2.0,1.7
1/26/2016,18:00,Tri North,Triangle West,38.269857,-121.398339,113.6,7.09,16.3,0.01,0.33,1.15,0.081,0.153,18.8,4.3,1.7,0.9
1/19/2016,18:00,Tri West,Triangle West,38.269857,-121.398339,118.3,7.07,18.1,0.05,0.22,0.98,0.084,0.160,10.8,3.2,1.1,1.6
1/19/2016,22:00,Tri West,Triangle West,38.269857,-121.398339,122.0,7.08,10.4,0.03,0.28,1.08,0.092,0.160,4.4,1.7,0.9,2.0
1/20/2016,0:00,Tri West,Triangle West,38.269857,-121.398339,123.1,7.04,21.0,0.04,0.29,1.09,0.089,0.163,31.5,4.7,1.1,2.0
1/20/2016,4:00,Tri West,Triangle West,38.269857,-121.398339,124.1,7.03,22.7,0.04,0.32,1.15,0.100,0.176,53.2,8.3,1.1,1.8
1/20/2016,8:00,Tri West,Triangle West,38.269857,-121.398339,125.0,7.01,25.5,0.02,0.34,1.18,0.109,0.187,51.6,8.5,1.3,2.1
1/20/2016,10:00,Tri West,Triangle West,38.269857,-121.398339,125.5,6.99,25.2,0.03,0.32,1.17,0.123,0.204,49.8,8.8,1.4,2.2
1/20/2016,12:00,Tri West,Triangle West,38.269857,-121.398339,121.8,6.97,22.8,0.04,0.26,1.16,0.129,0.220,33.2,9.6,1.4,2.4
1/20/2016,16:00,Tri West,Triangle West,38.269857,-121.398339,123.1,6.93,24.9,0.05,0.34,1.26,0.141,0.238,20.0,4.3,1.8,2.5
1/20/2016,20:00,Tri West,Triangle West,38.269857,-121.398339,128.0,6.94,28.6,0.06,0.43,1.29,0.147,0.241,24.2,5.3,1.8,2.5
1/21/2016,0:00,Tri West,Triangle West,38.269857,-121.398339,126.5,6.97,33.0,0.03,0.48,1.48,0.152,0.260,53.2,9.1,1.8,2.9
1/21/2016,4:00,Tri West,Triangle West,38.269857,-121.398339,123.5,6.90,34.1,0.02,0.50,1.41,0.160,0.275,37.5,6.6,2.0,3.2
1/21/2016,8:00,Tri West,Triangle West,38.269857,-121.398339,122.8,6.86,33.7,0.02,0.53,1.57,0.163,0.281,38.1,6.3,1.9,3.5
1/21/2016,10:00,Tri West,Triangle West,38.269857,-121.398339,121.9,6.87,31.8,0.01,0.56,1.48,0.153,0.260,35.4,6.5,2.0,2.9
1/21/2016,14:00,Tri West,Triangle West,38.269857,-121.398339,121.2,6.84,32.0,0.01,0.53,1.47,0.143,0.248,22.3,5.1,2.4,2.6
1/21/2016,18:00,Tri West,Triangle West,38.269857,-121.398339,123.4,6.89,28.9,0.01,0.52,1.42,0.138,0.238,58.7,8.9,2.0,2.3
1/21/2016,22:00,Tri West,Triangle West,38.269857,-121.398339,123.0,6.88,27.0,0.00,0.49,1.34,0.135,0.235,25.8,6.3,1.7,2.1
1/22/2016,2:00,Tri West,Triangle West,38.269857,-121.398339,122.4,6.80,26.6,0.01,0.46,1.36,0.138,0.235,17.1,4.3,1.6,2.1
1/22/2016,6:00,Tri West,Triangle West,38.269857,-121.398339,141.3,6.86,25.9,0.01,0.39,1.45,0.147,0.248,16.2,4.5,1.7,1.7
1/23/2016,0:00,Tri West,Triangle West,38.269857,-121.398339,129.7,6.95,9.2,0.02,0.09,1.08,0.226,0.292,18.5,4.5,2.0,0.9
1/23/2016,16:00,Tri West,Triangle West,38.269857,-121.398339,127.1,6.95,10.5,0.01,0.11,0.98,0.191,0.266,8.8,2.5,2.3,0.8
1/23/2016,22:00,Tri West,Triangle West,38.269857,-121.398339,122.9,6.97,12.7,0.00,0.18,0.87,0.155,0.210,8.6,2.9,2.0,0.9
1/24/2016,6:00,Tri West,Triangle West,38.269857,-121.398339,119.9,6.94,12.4,0.02,0.25,1.11,0.123,0.182,4.4,2.5,1.6,0.8
1/24/2016,14:00,Tri West,Triangle West,38.269857,-121.398339,122.2,6.91,9.8,0.01,0.19,0.93,0.129,0.185,4.3,2.5,1.8,0.9
1/24/2016,20:00,Tri West,Triangle West,38.269857,-121.398339,121.4,6.92,10.9,0.01,0.21,0.92,0.132,0.192,10.0,3.0,1.4,0.7
1/25/2016,22:00,Tri West,Triangle West,38.269857,-121.398339,116.5,6.98,15.3,0.01,0.20,0.87,0.077,0.132,9.5,2.8,0.6,0.8
1/26/2016,14:00,Tri West,Triangle West,38.269857,-121.398339,116.9,6.89,13.1,0.01,0.12,0.80,0.096,0.151,9.5,2.7,1.1,0.8
1/27/2016,14:00,Tri West,Triangle West,38.269857,-121.398339,128.4,6.81,12.3,0.01,0.00,0.81,0.149,0.226,9.8,3.3,2.1,0.6
1/30/2016,22:00,OD South #300,Oneto-Denier South,38.292567,-121.382632,98.4,7.26,35.7,0.01,0.17,0.76,0.018,0.120,34.9,6.7,1.2,1.1
1/31/2016,0:00,OD South #301,Oneto-Denier South,38.292567,-121.382632,98.8,7.11,36.9,0.01,0.21,0.76,0.037,0.142,18.5,3.7,0.8,1.4
1/31/2016,2:00,OD South #302,Oneto-Denier South,38.292567,-121.382632,98.6,7.31,40.6,0.02,0.25,0.87,0.029,0.146,32.1,6.0,1.0,1.6
1/31/2016,4:00,OD South #303,Oneto-Denier South,38.292567,-121.382632,95.3,7.19,52.0,0.02,0.28,1.33,0.026,0.151,34.9,6.4,1.2,1.9
1/31/2016,6:00,OD South #304,Oneto-Denier South,38.292567,-121.382632,89.9,7.20,53.7,0.02,0.32,1.00,0.028,0.157,32.7,6.3,1.1,1.6
1/31/2016,10:00,OD South #305,Oneto-Denier South,38.292567,-121.382632,86.9,7.10,51.1,0.01,0.31,1.04,0.036,0.160,34.9,6.7,1.4,1.2
1/31/2016,14:00 and 16:00,OD South #306,Oneto-Denier South,38.292567,-121.382632,90.5,7.33,37.6,0.01,0.23,0.89,0.034,0.123,17.2,5.9,0.8,0.8
1/31/2016,20:00,OD South #307,Oneto-Denier South,38.292567,-121.382632,89.1,7.20,17.5,0.02,0.27,0.87,0.040,0.116,8.5,3.2,0.7,0.8
2/1/2016,0:00,OD South #308,Oneto-Denier South,38.292567,-121.382632,88.8,7.27,17.9,0.01,0.31,0.82,0.047,0.110,9.0,1.0,0.6,0.5
2/1/2016,4:00,OD South #309,Oneto-Denier South,38.292567,-121.382632,86.9,7.04,18.8,0.01,0.30,0.94,0.048,0.104,8.7,2.2,0.4,0.5
2/1/2016,8:00,OD South #310,Oneto-Denier South,38.292567,-121.382632,85.5,7.06,18.2,0.02,0.28,0.79,0.045,0.094,6.8,2.4,0.3,0.5
2/1/2016,12:00+14:00,OD South # 311,Oneto-Denier South,38.292567,-121.382632,84.2,6.85,11.0,0.01,0.21,0.41,0.031,0.085,5.0,3.8,0.7,0.6
2/1/2016,20:00,OD South # 312,Oneto-Denier South,38.292567,-121.382632,83.2,6.85,11.2,0.01,0.21,0.41,0.030,0.059,6.3,3.7,0.2,0.3
1/30/2016,20:00,OD North # 300,Oneto-Denier North,38.31088,-121.375592,95.3,6.96,122.0,0.01,0.29,1.18,0.004,0.395,131.0,18.8,2.6,2.9
1/31/2016,0:00,OD North # 302,Oneto-Denier North,38.31088,-121.375592,79.3,6.92,165.0,0.01,0.29,1.17,0.013,0.392,211.0,27.0,5.0,4.6
1/31/2016,2:00,OD North # 303,Oneto-Denier North,38.31088,-121.375592,82.2,6.85,116.0,0.01,0.34,1.02,0.024,0.321,148.7,24.0,4.2,4.4
1/31/2016,4:00,OD North # 304,Oneto-Denier North,38.31088,-121.375592,89.0,7.12,87.0,0.04,0.31,0.99,0.030,0.309,92.5,15.3,3.2,4.5
1/31/2016,8:00,OD North # 305,Oneto-Denier North,38.31088,-121.375592,89.4,7.08,80.1,0.02,0.31,0.97,0.039,0.257,111.0,17.0,2.7,3.5
1/31/2016,14:00,OD North # 306,Oneto-Denier North,38.31088,-121.375592,85.8,7.04,52.6,0.01,0.33,0.94,0.039,0.192,61.5,7.5,1.9,2.0
2/1/2016,0:00,OD North # 307,Oneto-Denier North,38.31088,-121.375592,83.7,7.11,64.3,0.02,0.31,0.87,0.030,0.157,82.3,37.8,2.3,0.0
2/1/2016,2:00,OD North # 308,Oneto-Denier North,38.31088,-121.375592,82.9,7.08,72.0,0.03,0.32,0.82,0.036,0.188,91.8,41.8,0.9,1.1
2/1/2016,8:00,OD North # 309,Oneto-Denier North,38.31088,-121.375592,82.9,7.21,37.5,0.02,0.30,0.87,0.027,0.121,48.4,13.6,1.1,1.3
3/12/2016,12:00,OD North 700,Oneto-Denier North,38.31088,-121.375592,81.9,7.36,15.0,0.01,0.26,0.80,0.038,0.097,9.3,2.9,,
3/12/2016,14:00,OD North 701,Oneto-Denier North,38.31088,-121.375592,168.9,7.25,32.0,0.00,0.24,0.76,0.039,0.154,43.3,7.3,,
3/12/2016,18:00,OD North 703,Oneto-Denier North,38.31088,-121.375592,72.0,7.08,29.0,0.00,0.22,0.81,0.035,0.145,33.6,7.3,,
3/12/2016,22:00,OD North 705,Oneto-Denier North,38.31088,-121.375592,96.7,7.09,40.0,0.01,0.31,0.75,0.055,0.176,39.4,6.9,,
3/13/2016,0:00,OD North 706,Oneto-Denier North,38.31088,-121.375592,90.7,7.13,26.0,0.01,0.30,0.73,0.052,0.135,25.5,5.2,,
3/13/2016,5:00,OD North 708,Oneto-Denier North,38.31088,-121.375592,97.9,7.06,28.0,0.00,0.28,0.73,0.057,0.157,31.6,5.6,,
3/13/2016,9:00,OD North 710,Oneto-Denier North,38.31088,-121.375592,91.4,7.13,25.0,0.01,0.25,0.79,0.051,0.174,29.6,5.4,,
3/13/2016,13:00,OD North 712,Oneto-Denier North,38.31088,-121.375592,88.5,7.08,28.0,0.01,0.30,0.78,0.052,0.151,34.8,6.8,,
3/13/2016,17:00,OD North 714,Oneto-Denier North,38.31088,-121.375592,88.5,7.03,41.0,0.01,0.24,0.78,0.047,0.179,54.5,7.7,,
3/13/2016,21:00,OD North 716,Oneto-Denier North,38.31088,-121.375592,85.0,7.09,35.0,0.01,0.19,0.71,0.033,0.151,49.4,7.1,,
3/14/2016,3:00,OD North 719,Oneto-Denier North,38.31088,-121.375592,70.3,7.06,54.0,0.00,0.20,0.91,0.026,0.270,83.3,11.5,,
3/14/2016,7:00,OD North 721,Oneto-Denier North,38.31088,-121.375592,84.1,7.02,41.0,0.02,0.24,0.83,0.070,0.213,68.6,9.4,,
3/14/2016,9:00,OD North 722,Oneto-Denier North,38.31088,-121.375592,87.8,6.52,39.0,0.02,0.19,0.85,0.092,0.257,59.4,9.0,,
3/15/2016,12:00,OD North 747,Oneto-Denier North,38.31088,-121.375592,86.9,7.37,13.4,0.08,0.15,0.71,0.090,0.154,7.9,3.1,,
3/15/2016,14:00,OD North 748,Oneto-Denier North,38.31088,-121.375592,87.7,7.28,10.7,0.11,0.14,0.89,0.105,0.182,7.1,3.7,,
3/16/2016,10:00,OD North 749,Oneto-Denier North,38.31088,-121.375592,87.5,7.25,16.6,0.11,0.15,0.70,0.089,0.185,32.8,4.3,,
3/16/2016,12:00,OD North 750,Oneto-Denier North,38.31088,-121.375592,82.9,7.24,40.6,0.11,0.15,0.69,0.087,0.235,66.6,7.2,,
3/15/2016,12:00,OD North 751,Oneto-Denier North,38.31088,-121.375592,79.2,6.74,16.5,0.01,0.00,0.52,0.006,0.078,15.5,6.3,,
3/15/2016,14:00,OD North 752,Oneto-Denier North,38.31088,-121.375592,74.8,6.75,10.9,0.01,0.00,0.50,0.007,0.085,9.2,4.2,,
3/16/2016,10:00,OD North 753,Oneto-Denier North,38.31088,-121.375592,79.9,7.01,6.78,0.01,0.10,0.63,0.041,0.113,10.8,8.1,,
3/16/2016,12:00,OD North 754,Oneto-Denier North,38.31088,-121.375592,82.7,7.06,9.73,0.04,0.15,0.57,0.057,0.123,9.7,4.4,,
3/16/2016,18:00,OD N #700,Oneto-Denier North,38.31088,-121.375592,86.7,6.94,5.94,0.02,0.05,0.43,0.039,0.075,7.7,4.7,,
3/17/2016,8:00,OD N #701,Oneto-Denier North,38.31088,-121.375592,87.1,7.29,16.3,0.18,0.16,0.66,0.083,0.157,35.3,4.7,,
3/17/2016,20:00,OD N #702,Oneto-Denier North,38.31088,-121.375592,86.0,7.41,12.9,0.03,0.09,0.36,0.051,0.099,26.3,2.8,,
3/18/2016,8:00,OD N #703,Oneto-Denier North,38.31088,-121.375592,86.7,7.21,13.9,0.04,0.16,0.42,0.055,0.088,34.3,3.1,,
3/22/2016,14:00,OD N #704,Oneto-Denier North,38.31088,-121.375592,82.0,7.17,20.3,0.01,0.04,0.27,0.010,0.063,49.7,4.7,,
3/22/2016,20:00,OD N #705,Oneto-Denier North,38.31088,-121.375592,82.2,7.14,27.0,0.01,0.11,0.40,0.018,0.085,53.3,5.7,,
3/23/2016,2:00,OD N #706,Oneto-Denier North,38.31088,-121.375592,88.7,7.22,30.5,0.01,0.12,0.40,0.025,0.094,52.3,12.6,,
3/23/2016,8:00,OD N #707,Oneto-Denier North,38.31088,-121.375592,84.5,6.45,15.1,0.01,0.12,0.34,0.029,0.097,32.7,6.3,,
3/24/2016,14:00,OD N #708,Oneto-Denier North,38.31088,-121.375592,84.7,7.23,19.2,0.00,0.07,0.28,0.019,0.059,35.0,5.3,,
3/24/2016,20:00,OD N #709,Oneto-Denier North,38.31088,-121.375592,84.4,7.26,18.3,0.07,0.07,0.28,0.019,0.056,36.5,4.2,,
3/24/2016,2:00,OD N #710,Oneto-Denier North,38.31088,-121.375592,80.6,7.35,17.1,0.03,0.07,0.28,0.018,0.050,35.9,3.7,,
3/12/2016,12:00,OD South 724,Oneto-Denier South,38.292567,-121.382632,3197.0,6.57,14.0,0.00,0.04,0.54,0.002,0.072,16.0,6.8,,
3/12/2016,14:00,OD South 725,Oneto-Denier South,38.292567,-121.382632,44.7,6.56,17.0,0.00,0.02,0.48,0.007,0.069,24.2,8.0,,
3/12/2016,18:00,OD South 727,Oneto-Denier South,38.292567,-121.382632,65.9,6.54,20.0,0.01,0.01,0.55,0.006,0.075,15.0,4.8,,
3/12/2016,22:00,OD South 729,Oneto-Denier South,38.292567,-121.382632,70.3,6.56,21.0,0.01,0.02,0.61,0.006,0.132,19.7,6.2,,
3/13/2016,0:00,OD South 730,Oneto-Denier South,38.292567,-121.382632,43.9,6.51,21.0,0.00,0.01,0.66,0.006,0.101,19.3,6.0,,
3/13/2016,5:00,OD South 732,Oneto-Denier South,38.292567,-121.382632,74.6,6.44,18.0,0.01,0.01,0.51,0.006,0.082,12.8,4.7,,
3/13/2016,9:00,OD South 733,Oneto-Denier South,38.292567,-121.382632,2198.0,6.43,18.0,0.01,0.01,0.60,0.009,0.113,27.6,6.5,,
3/13/2016,13:00,OD South 735,Oneto-Denier South,38.292567,-121.382632,553.0,6.57,19.0,0.01,0.00,0.51,0.010,0.082,28.4,10.2,,
3/13/2016,17:00,OD South 737,Oneto-Denier South,38.292567,-121.382632,18.4,6.56,18.0,0.02,0.00,0.66,0.015,0.145,15.8,3.9,,
3/13/2016,21:00,OD South 739,Oneto-Denier South,38.292567,-121.382632,458.0,6.56,19.0,0.00,0.00,0.62,0.012,0.085,18.2,5.0,,
3/14/2016,3:00,OD South 742,Oneto-Denier South,38.292567,-121.382632,2664.0,6.56,19.0,0.02,0.01,0.59,0.006,0.107,29.6,7.7,,
3/14/2016,7:00,OD South 744,Oneto-Denier South,38.292567,-121.382632,30.8,6.60,26.0,0.01,0.01,0.62,0.002,0.088,26.6,8.5,,
3/14/2016,9:00,OD South 746,Oneto-Denier South,38.292567,-121.382632,624.0,6.57,35.0,0.01,0.01,0.65,0.002,0.113,29.8,7.7,,
3/16/2016,18:00,OD S #700,Oneto-Denier South,38.292567,-121.382632,83.8,6.81,17.8,0.01,0.00,0.44,0.016,0.078,16.3,5.4,,
3/17/2016,8:00,OD S #701,Oneto-Denier South,38.292567,-121.382632,87.3,7.05,9.56,0.01,0.00,0.38,0.022,0.059,7.9,3.8,,
3/17/2016,20:00,OD S #702,Oneto-Denier South,38.292567,-121.382632,80.7,5.93,30.4,0.00,0.01,0.40,0.015,0.066,49.4,4.6,,
3/22/2016,14:00,OD S #703,Oneto-Denier South,38.292567,-121.382632,81.2,6.58,12.6,0.01,0.00,0.37,0.006,0.037,7.0,3.1,,
3/22/2016,20:00,OD S #704,Oneto-Denier South,38.292567,-121.382632,82.3,6.91,7.2,0.02,0.00,0.37,0.016,0.078,5.6,3.4,,
3/23/2016,2:00,OD S #705,Oneto-Denier South,38.292567,-121.382632,83.7,6.91,6.15,0.02,0.00,0.31,0.025,0.063,6.6,3.1,,
3/23/2016,8:00,OD S #706,Oneto-Denier South,38.292567,-121.382632,85.5,6.88,8.81,0.01,0.00,0.33,0.016,0.063,5.4,2.9,,
3/23/2016,14:00,OD S #707,Oneto-Denier South,38.292567,-121.382632,84.5,7.14,15.4,0.00,0.00,0.28,0.010,0.040,21.4,16.3,,
3/23/2016,20:00,OD S #708,Oneto-Denier South,38.292567,-121.382632,86.3,7.19,7.85,0.00,0.00,0.25,0.015,0.044,12.4,3.0,,
3/24/2016,2:00,OD S #709,Oneto-Denier South,38.292567,-121.382632,83.6,7.04,22.1,0.00,0.00,0.31,0.012,0.066,26.4,9.0,,
3/24/2016,8:00,OD S #710,Oneto-Denier South,38.292567,-121.382632,80.5,6.70,7.52,0.00,0.01,1.05,0.007,0.040,11.9,8.3,,
3/22/2016,14:00,TRI N #700,Triangle North,38.276456,-121.392615,82.2,6.78,207,0.01,0.00,0.61,0.013,0.446,213.9,10.4,,
3/22/2016,20:00,TRI N #701,Triangle North,38.276456,-121.392615,89.9,6.68,348,0.01,0.07,0.78,0.032,0.711,534.9,23.4,,
3/23/2016,2:00,TRI N #702,Triangle North,38.276456,-121.392615,86.6,6.80,266,0.02,0.10,0.57,0.025,0.583,287.6,19.8,,
3/23/2016,8:00,TRI N #703,Triangle North,38.276456,-121.392615,85.6,6.98,26.5,0.02,0.11,0.37,0.029,0.088,78.4,9.5,,
3/22/2016,8:00,TRI W #700,Triangle West,38.269857,-121.398339,98.5,6.78,6.83,0.02,0.00,0.45,0.072,0.157,15.6,4.4,,
3/22/2016,14:00,TRI W #701,Triangle West,38.269857,-121.398339,96.6,6.83,6.48,0.02,0.00,0.41,0.067,0.124,10.7,2.4,,
3/22/2016,20:00,TRI W #702,Triangle West,38.269857,-121.398339,92.8,6.84,17.2,0.01,0.02,0.42,0.063,0.142,16.8,4.5,,
3/23/2016,2:00,TRI W #703,Triangle West,38.269857,-121.398339,93.1,6.83,15.7,0.01,0.04,0.69,0.068,0.142,15.6,3.8,,
3/23/2016,8:00,TRI W #704,Triangle West,38.269857,-121.398339,95.6,6.79,11.1,0.03,0.04,0.42,0.077,0.138,11.4,3.2,,
3/23/2016,14:00,TRI N #704,Triangle North,38.276456,-121.392615,87.4,7.02,84.4,0.01,0.02,0.45,0.023,0.229,148.6,7.7,,
3/23/2016,20:00,TRI N #705,Triangle North,38.276456,-121.392615,89.1,7.00,107,0.04,0.07,0.43,0.033,0.255,135.2,12.6,,
3/24/2016,2:00,TRI N #706,Triangle North,38.276456,-121.392615,88.2,7.07,60.9,0.00,0.08,0.38,0.036,0.217,63.8,5.4,,
3/24/2016,8:00,TRI N #707,Triangle North,38.276456,-121.392615,88.9,6.96,153,0.00,0.11,0.51,0.035,0.355,141.3,17.8,,
3/23/2016,14:00,TRI W #705,Triangle West,38.269857,-121.398339,95.7,6.11,11.5,0.00,0.00,0.37,0.073,0.126,9.2,2.8,,
3/23/2016,20:00,TRI W #706,Triangle West,38.269857,-121.398339,88.3,6.88,5.72,0.00,0.00,0.35,0.057,0.094,6.7,2.4,,
3/23/2016,2:00,TRI W #707,Triangle West,38.269857,-121.398339,88.7,6.92,5.06,0.00,0.00,0.30,0.047,0.075,4.5,1.7,,
2/10/2016,12:00,T W            #1000,Triangle West,38.269857,-121.398339,107.8,6.76,9.0,0.02,0.01,0.34,0.040,0.116,14.5,4.7,13.4,7.0
2/9/2016,9:30,S wale Bottle # 1,Swale,,,99.4,6.71,6.9,0.01,0.05,0.16,0.030,0.065,3.0,0.8,0.8,0.3
2/12/2016,10:00,Swale #2,Swale,,,95.6,7.27,3.9,0.01,0.07,0.11,0.007,0.027,2.2,1.7,0.1,0.1
  2/17/2016,9:55,Triangle West #1001,Triangle West,38.269857,-121.398339,138.7,7.13,4.4,0.03,0.00,0.39,0.091,0.136,3.7,3.5,14.5,7.1
2/17/2016,10:50,Swale #2,Swale,,,71.3,7.28,3.2,0.01,0.01,0.05,0.010,0.021,3.4,1.8,0.2,0.2
2/19/2016,8:45,Tri N #1002,Triangle North,38.276456,-121.392615,2111.0,7.15,4.9,0.17,0.01,0.80,0.052,0.119,5.7,3.6,6.7,10.0
2/19/2016,9:40,OD Swale #3,Swale,,,3178.0,7.55,15.8,0.03,0.08,0.23,0.003,0.056,26.6,2.9,2.2,1.3
2/22/2016,9:30,Tri N #1003,Triangle North,38.276456,-121.392615,1307.0,7.12,3.8,0.03,0.00,0.62,0.065,0.108,5.7,2.4,5.4,3.1
2/24/2016,9:00,Tri w #1004,Triangle West,38.269857,-121.398339,124.5,6.67,3.1,0.03,0.00,0.30,0.070,0.132,3.3,1.3,1.0,1.4
3/1/2016,11:00,Swale #4,Swale,,,55.7,7.19,15.3,0.05,0.01,0.47,0.013,0.085,8.8,2.1,,
3/3/2016,9:20,Triangle W #1006,Triangle West,38.269857,-121.398339,1153.0,7.07,2.8,0.03,0.02,0.27,0.111,0.168,0.7,0.5,,
3/4/2016,10:55,Swale #5 ,Swale,,,87.5,7.04,6.7,0.03,0.03,0.48,0.032,0.106,5.7,3.4,,
2/29/2016,9:45,Triangle W #1005,Triangle West,38.269857,-121.398339,44.4,6.90,5.7,0.04,0.01,1.02,0.086,0.212,21.4,11.0,,
